"Credit Type is not configured","Credit Type is not configured"
"Transaction does not contain pasref or authcode to prepare request.","Transaction does not contain pasref or authcode to prepare request."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Elavon response error","Elavon response error"
"Transaction has been declined by Bank. Please try again later.","Transaction has been declined by Bank. Please try again later."
"An error occurred while contacting Bank. Please try again later.","An error occurred while contacting Bank. Please try again later."
"An error occurred while processing the transaction. Please try again later.","An error occurred while processing the transaction. Please try again later."
"Check your Credit Card details and try again","Check your Credit Card details and try again"
"An error occurred while processing the transaction. Please contact merchant for details.","An error occurred while processing the transaction. Please contact merchant for details."
"An error occurred during saving configuration.","An error occurred during saving configuration."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Transaction via %1 store","Transaction via %1 store"
"Elavon","Elavon"
Enabled,Enabled
Debug,Debug
"All request/response API calls are stored in the Magento_Root/var/log/debug_elavon.log file.","All request/response API calls are stored in the Magento_Root/var/log/debug_elavon.log file."
"Gateway URL","Gateway URL"
Title,Title
"It is recommended to set this value to ""Debit or Credit Card"".","It is recommended to set this value to ""Debit or Credit Card""."
"Payment Action","Payment Action"
"Credit Card Types","Credit Card Types"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Elavon Credentials","Elavon Credentials"
"Merchant ID","Merchant ID"
Account,Account
"Sub Account","Sub Account"
Secret,Secret
"Refund Password","Refund Password"
"Advanced Settings","Advanced Settings"
"Multiple Settle/Refund Enabled","Multiple Settle/Refund Enabled"
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Accepted Currency","Accepted Currency"
